     1	    2	    3	    4	    5	    6	    7	    8	    9	    10
1 -  0	    2.236	3.742	4.123	4.123	3.742	4.472	4.899	5.099	4.69
2 -  2.236	0	3.317	3.742	3.742	3.873	3.873	4.359	4.583	4.359
3 -  3.742	3.317	0	1.732	4.123	4	4.243	4.243	4	4
4 -  4.123	3.742	1.732	0	4.243	4.359	4.123	4.123	4.123	4.359
5 -  4.123	3.742	4.123	4.243	0	2.646	4.123	4.583	4.123	4.123
6 -  3.742	3.873	4	4.359	2.646	0	3.742	4.243	4	3.464 
7 -  4.472	3.873	4.243	4.123	4.123	3.742	0	2	3.464	3.162
8 -  4.899	4.359	4.243	4.123	4.583	4.243	2	0	3.464	3.464
9 -  5.099	4.583	4	4.123	4.123	4	3.464	3.464	0	2.449
10 - 4.69	  4.359	4	4.359	4.123	3.464	3.162	3.464	2.449	0
